               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 112,            0.020089,           0.0052486,                   0,              0.8934,             0.83816,             0.86563,             0.49966,            0.030623,           0.0044409,                   0,            0.006337,            0.006337,            0.006337
                 113,            0.019628,           0.0054571,                   0,             0.89293,             0.83405,             0.85875,             0.48817,            0.030339,           0.0043802,                   0,            0.006304,            0.006304,            0.006304
                 114,            0.018773,           0.0050745,                   0,             0.85638,                0.82,             0.84813,             0.47326,            0.030634,            0.004465,                   0,            0.006271,            0.006271,            0.006271
                 115,            0.018737,           0.0051696,                   0,             0.87115,                0.84,             0.84197,             0.46385,            0.031518,           0.0045621,                   0,            0.006238,            0.006238,            0.006238
                 116,            0.019306,            0.005277,                   0,             0.86353,                0.84,             0.83157,              0.4734,            0.029353,              0.0045,                   0,            0.006205,            0.006205,            0.006205
                 117,            0.020221,               0.005,                   0,             0.88773,                 0.8,             0.82529,             0.49677,            0.029175,           0.0046165,                   0,            0.006172,            0.006172,            0.006172
                 118,            0.018894,           0.0049171,                   0,             0.90846,                0.78,             0.83076,             0.47812,            0.029577,           0.0044526,                   0,            0.006139,            0.006139,            0.006139
                 119,            0.018901,           0.0056054,                   0,             0.89069,             0.81495,             0.83709,             0.52426,            0.028754,            0.004421,                   0,            0.006106,            0.006106,            0.006106
                 120,            0.018802,           0.0050543,                   0,             0.89341,             0.83817,              0.8302,              0.4913,            0.028978,           0.0044327,                   0,            0.006073,            0.006073,            0.006073
                 121,            0.019519,           0.0047748,                   0,             0.89065,             0.81455,             0.85356,             0.48931,            0.030006,           0.0044751,                   0,             0.00604,             0.00604,             0.00604
                 122,            0.018795,           0.0048819,                   0,             0.88863,                0.82,              0.8446,             0.51471,            0.029807,           0.0044032,                   0,            0.006007,            0.006007,            0.006007
                 123,            0.018185,           0.0049976,                   0,             0.89071,             0.81511,             0.83356,             0.47086,            0.030556,           0.0045104,                   0,            0.005974,            0.005974,            0.005974
