               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 117,             0.02252,           0.0055368,                   0,             0.93612,             0.87922,             0.90703,             0.51016,            0.030659,           0.0044681,                   0,            0.006172,            0.006172,            0.006172
                 118,             0.02176,           0.0055357,                   0,             0.92364,                0.88,             0.89576,             0.48968,            0.030967,           0.0043391,                   0,            0.006139,            0.006139,            0.006139
                 119,            0.021403,           0.0060728,                   0,             0.91077,                0.88,             0.88866,             0.48921,            0.030153,           0.0043364,                   0,            0.006106,            0.006106,            0.006106
                 120,            0.020992,            0.005511,                   0,             0.89576,                0.88,             0.89775,             0.47659,            0.030761,            0.004398,                   0,            0.006073,            0.006073,            0.006073
                 121,            0.021164,           0.0053384,                   0,              0.8889,                0.86,             0.88632,             0.50478,            0.030438,           0.0043272,                   0,             0.00604,             0.00604,             0.00604
                 122,            0.019881,           0.0054174,                   0,             0.87384,                0.84,             0.84937,             0.49688,            0.029907,           0.0042783,                   0,            0.006007,            0.006007,            0.006007
                 123,            0.021142,           0.0054767,                   0,             0.90585,                0.84,             0.89674,             0.50937,            0.030081,           0.0042877,                   0,            0.005974,            0.005974,            0.005974
                 124,            0.020178,            0.005659,                   0,             0.90288,                0.86,             0.89644,             0.52358,            0.029437,           0.0043127,                   0,            0.005941,            0.005941,            0.005941
                 125,            0.020176,            0.005713,                   0,             0.89637,                0.88,              0.8821,              0.4847,            0.030117,           0.0044337,                   0,            0.005908,            0.005908,            0.005908
                 126,             0.02126,           0.0054481,                   0,             0.89787,             0.87916,             0.90117,             0.48053,            0.031129,           0.0043443,                   0,            0.005875,            0.005875,            0.005875
                 127,            0.020604,           0.0056368,                   0,             0.91934,                0.84,             0.90684,             0.51185,            0.029989,           0.0042825,                   0,            0.005842,            0.005842,            0.005842
                 128,            0.020224,           0.0056336,                   0,             0.90193,                0.82,             0.87819,              0.5157,            0.030514,           0.0042785,                   0,            0.005809,            0.005809,            0.005809
                 129,            0.020106,            0.005427,                   0,             0.93526,                0.84,             0.90714,             0.53219,            0.030122,            0.004177,                   0,            0.005776,            0.005776,            0.005776
                 130,            0.020237,           0.0051346,                   0,              0.9293,                0.86,             0.90106,             0.51216,            0.030764,           0.0042847,                   0,            0.005743,            0.005743,            0.005743
                 131,            0.020274,           0.0056253,                   0,             0.90916,                0.84,             0.86803,             0.50881,            0.031274,           0.0043152,                   0,             0.00571,             0.00571,             0.00571
                 132,            0.020283,           0.0056082,                   0,             0.92402,                0.86,             0.89826,             0.51175,            0.030156,           0.0043338,                   0,            0.005677,            0.005677,            0.005677
                 133,            0.019993,           0.0056682,                   0,             0.93154,                0.86,             0.89968,             0.51531,            0.028934,           0.0043292,                   0,            0.005644,            0.005644,            0.005644
                 134,            0.020424,           0.0059018,                   0,             0.91415,                0.86,             0.89607,             0.49955,            0.029843,           0.0043541,                   0,            0.005611,            0.005611,            0.005611
                 135,            0.020046,           0.0054104,                   0,             0.93307,                0.86,             0.90331,             0.49415,            0.030387,           0.0043066,                   0,            0.005578,            0.005578,            0.005578
